date,feature_index,NO2
2026-02-19T00:00:00.000Z,0,
2026-02-18T00:00:00.000Z,0,
2026-02-15T00:00:00.000Z,0,3.61333633918548E-5
2026-02-12T00:00:00.000Z,0,
2026-02-17T00:00:00.000Z,0,
2026-02-04T00:00:00.000Z,0,1.4850091474727378E-5
2026-02-05T00:00:00.000Z,0,
2026-02-11T00:00:00.000Z,0,
2026-02-06T00:00:00.000Z,0,
2026-02-09T00:00:00.000Z,0,
2026-02-07T00:00:00.000Z,0,
2026-02-08T00:00:00.000Z,0,3.601111287328725E-5
2026-02-10T00:00:00.000Z,0,
2026-06-13T00:00:00.000Z,0,5.6154047342715785E-5
2026-06-16T00:00:00.000Z,0,4.16725997638423E-5
2026-06-15T00:00:00.000Z,0,3.595183928458331E-5
2026-06-19T00:00:00.000Z,0,6.745618575223488E-5
2026-06-18T00:00:00.000Z,0,4.1262085586721594E-5
2026-06-14T00:00:00.000Z,0,2.8991452748212192E-5
2026-06-17T00:00:00.000Z,0,4.449131722594757E-5
2026-06-12T00:00:00.000Z,0,
2025-09-08T00:00:00.000Z,0,2.677354078674826E-5
2025-09-10T00:00:00.000Z,0,
2025-09-12T00:00:00.000Z,0,3.67244208973716E-5
2025-09-11T00:00:00.000Z,0,3.236993976124244E-5
2025-09-06T00:00:00.000Z,0,2.5035889734681405E-5
2025-09-07T00:00:00.000Z,0,
2025-09-09T00:00:00.000Z,0,2.2962112052482552E-5
2025-09-05T00:00:00.000Z,0,1.9996873609335652E-5
2025-10-27T00:00:00.000Z,0,
2025-10-23T00:00:00.000Z,0,
2025-10-29T00:00:00.000Z,0,
2025-10-26T00:00:00.000Z,0,3.959235664297012E-5
2025-10-28T00:00:00.000Z,0,3.1195105872360394E-5
2025-10-30T00:00:00.000Z,0,3.0978984796092845E-5
2025-10-25T00:00:00.000Z,0,
2025-10-24T00:00:00.000Z,0,
2025-11-30T00:00:00.000Z,0,
2025-11-26T00:00:00.000Z,0,2.9838939857048292E-5
2025-11-25T00:00:00.000Z,0,1.708001127553871E-5
2025-11-28T00:00:00.000Z,0,2.1475255510137815E-5
2025-11-29T00:00:00.000Z,0,
2025-12-01T00:00:00.000Z,0,2.8416918796990232E-5
2025-11-27T00:00:00.000Z,0,
2025-11-24T00:00:00.000Z,0,
2026-01-17T00:00:00.000Z,0,
2026-01-15T00:00:00.000Z,0,
2026-01-11T00:00:00.000Z,0,
2026-01-14T00:00:00.000Z,0,
2026-01-13T00:00:00.000Z,0,1.062830961018335E-5
2026-01-16T00:00:00.000Z,0,
2026-01-18T00:00:00.000Z,0,
2026-01-12T00:00:00.000Z,0,
2026-03-26T00:00:00.000Z,0,
2026-03-30T00:00:00.000Z,0,4.101278900634497E-5
2026-03-24T00:00:00.000Z,0,
2026-03-31T00:00:00.000Z,0,
2026-03-28T00:00:00.000Z,0,
2026-03-27T00:00:00.000Z,0,3.200603634254281E-5
2026-03-25T00:00:00.000Z,0,3.0016322853043675E-5
2026-03-29T00:00:00.000Z,0,3.1244821002474055E-5
2026-07-02T00:00:00.000Z,0,4.564617665892001E-5
2026-07-04T00:00:00.000Z,0,4.543569120869506E-5
2026-07-03T00:00:00.000Z,0,4.2427100879649515E-5
2026-07-01T00:00:00.000Z,0,3.551066984073259E-5
2026-06-29T00:00:00.000Z,0,5.0872422980319244E-5
2026-06-30T00:00:00.000Z,0,3.10278328925051E-5
2026-07-05T00:00:00.000Z,0,3.363068037074032E-5
2026-06-28T00:00:00.000Z,0,3.515268039528133E-5
2026-06-03T00:00:00.000Z,0,2.8468725180242803E-5
2026-05-29T00:00:00.000Z,0,2.755370014710934E-5
2026-06-02T00:00:00.000Z,0,3.188325708833872E-5
2026-06-01T00:00:00.000Z,0,5.228299141890602E-5
2026-05-30T00:00:00.000Z,0,2.820625858850476E-5
2026-05-28T00:00:00.000Z,0,2.893448399845511E-5
2026-05-27T00:00:00.000Z,0,3.140038985721356E-5
2026-05-31T00:00:00.000Z,0,3.095255351581727E-5
2026-01-23T00:00:00.000Z,0,
2026-01-25T00:00:00.000Z,0,
2026-01-19T00:00:00.000Z,0,
2026-01-21T00:00:00.000Z,0,
2026-01-22T00:00:00.000Z,0,
2026-01-26T00:00:00.000Z,0,
2026-01-20T00:00:00.000Z,0,
2026-01-24T00:00:00.000Z,0,2.0428175929509962E-5
2026-05-21T00:00:00.000Z,0,2.8358048829042154E-5
2026-05-19T00:00:00.000Z,0,2.476478428954059E-5
2026-05-23T00:00:00.000Z,0,3.69799451039977E-5
2026-05-25T00:00:00.000Z,0,3.6890093421485894E-5
2026-05-26T00:00:00.000Z,0,3.172033939335961E-5
2026-05-20T00:00:00.000Z,0,1.3276433492137585E-5
2026-05-22T00:00:00.000Z,0,
2026-05-24T00:00:00.000Z,0,2.3619336636990987E-5
2025-09-03T00:00:00.000Z,0,3.9084166372857806E-5
