date,feature_index,SO2
2026-06-01T00:00:00.000Z,0,2.7383982751416624E-5
2026-05-30T00:00:00.000Z,0,2.0068906342203264E-4
2026-05-28T00:00:00.000Z,0,7.808582670350006E-5
2026-05-27T00:00:00.000Z,0,7.622638038714955E-5
2026-05-31T00:00:00.000Z,0,5.171898783373763E-5
2026-04-06T00:00:00.000Z,0,7.42839249824101E-5
2026-04-02T00:00:00.000Z,0,-2.2871755936648698E-5
2026-04-05T00:00:00.000Z,0,9.126541772275232E-5
2026-04-04T00:00:00.000Z,0,-8.574338502853607E-5
2026-04-08T00:00:00.000Z,0,6.0419370674935637E-5
2026-04-01T00:00:00.000Z,0,-2.8126188635724247E-5
2026-04-03T00:00:00.000Z,0,6.813473918327872E-5
2026-04-07T00:00:00.000Z,0,1.5455979373655283E-4
2026-08-28T00:00:00.000Z,0,9.442493656024454E-5
2026-08-25T00:00:00.000Z,0,8.611260645920992E-5
2026-08-27T00:00:00.000Z,0,-4.464594690034574E-6
2026-08-24T00:00:00.000Z,0,-3.389735593373189E-5
2026-08-29T00:00:00.000Z,0,1.765912245900836E-4
2026-08-26T00:00:00.000Z,0,2.9297764639421883E-5
2026-08-30T00:00:00.000Z,0,-1.990245382330613E-5
2026-08-23T00:00:00.000Z,0,-7.510378964070696E-5
2026-07-02T00:00:00.000Z,0,2.8715513326460496E-5
2026-07-04T00:00:00.000Z,0,-2.4082067102426664E-5
2026-07-03T00:00:00.000Z,0,6.167951396491844E-5
2026-07-01T00:00:00.000Z,0,3.8392214810301085E-5
2026-06-29T00:00:00.000Z,0,2.972577956825262E-4
2026-06-30T00:00:00.000Z,0,1.8266028146172176E-4
2026-07-05T00:00:00.000Z,0,2.309542776856688E-4
2026-06-28T00:00:00.000Z,0,1.7172538416332372E-4
2025-11-10T00:00:00.000Z,0,
2025-11-14T00:00:00.000Z,0,
2025-11-12T00:00:00.000Z,0,
2025-11-08T00:00:00.000Z,0,1.094961541974427E-6
2025-11-09T00:00:00.000Z,0,
2025-11-13T00:00:00.000Z,0,-1.5468661149498075E-4
2025-11-11T00:00:00.000Z,0,5.8612576935956895E-5
2025-11-15T00:00:00.000Z,0,2.247744760097703E-5
2026-01-01T00:00:00.000Z,0,
2025-12-29T00:00:00.000Z,0,5.0450862014865074E-5
2026-01-02T00:00:00.000Z,0,
2025-12-28T00:00:00.000Z,0,8.119066892504634E-5
2025-12-30T00:00:00.000Z,0,1.0963872700813227E-4
2025-12-31T00:00:00.000Z,0,
2025-12-26T00:00:00.000Z,0,1.4094127566620176E-6
2025-12-27T00:00:00.000Z,0,
2026-03-08T00:00:00.000Z,0,
2026-03-09T00:00:00.000Z,0,9.797625777234013E-5
2026-03-12T00:00:00.000Z,0,3.8249953783968904E-5
2026-03-10T00:00:00.000Z,0,-5.683202778072882E-5
2026-03-13T00:00:00.000Z,0,3.062919586227508E-5
2026-03-15T00:00:00.000Z,0,-6.870594588690438E-5
2026-03-11T00:00:00.000Z,0,-1.7421029442630243E-4
2026-03-14T00:00:00.000Z,0,1.1417689655410449E-4
2026-05-15T00:00:00.000Z,0,2.107946063819997E-4
2026-05-17T00:00:00.000Z,0,6.240513929307261E-5
2026-05-11T00:00:00.000Z,0,1.210723904250699E-4
2026-05-16T00:00:00.000Z,0,-7.994933841675649E-6
2026-05-18T00:00:00.000Z,0,1.2846595782320947E-4
2026-05-12T00:00:00.000Z,0,1.6634412704661373E-4
2026-05-14T00:00:00.000Z,0,-3.764762805076316E-4
2026-05-13T00:00:00.000Z,0,6.9247468127287E-5
2025-09-03T00:00:00.000Z,0,3.461879183911757E-5
2025-09-04T00:00:00.000Z,0,9.81297584985441E-5
2025-09-02T00:00:00.000Z,0,5.212882266884359E-5
2025-08-30T00:00:00.000Z,0,
2025-08-31T00:00:00.000Z,0,4.616297374013811E-5
2025-09-01T00:00:00.000Z,0,2.405951887340052E-4
2026-03-26T00:00:00.000Z,0,
2026-03-30T00:00:00.000Z,0,4.0145929212004E-4
2026-03-24T00:00:00.000Z,0,-2.7197242767821688E-5
2026-03-31T00:00:00.000Z,0,-3.5509918234311044E-4
2026-03-28T00:00:00.000Z,0,
2026-03-27T00:00:00.000Z,0,-5.080744085717015E-6
2026-03-25T00:00:00.000Z,0,1.1968633043579757E-4
2026-03-29T00:00:00.000Z,0,9.920017577027657E-5
2025-10-18T00:00:00.000Z,0,5.5443393648602065E-6
2025-10-19T00:00:00.000Z,0,-1.1326893652747256E-4
2025-10-22T00:00:00.000Z,0,
2025-10-16T00:00:00.000Z,0,-1.3465129586620606E-5
2025-10-20T00:00:00.000Z,0,-5.449641957966378E-5
2025-10-15T00:00:00.000Z,0,-2.4253614674307757E-5
2025-10-21T00:00:00.000Z,0,
2025-10-17T00:00:00.000Z,0,2.0603694065357558E-4
2026-07-09T00:00:00.000Z,0,3.4322670580877455E-5
2026-07-10T00:00:00.000Z,0,9.917245365613781E-5
2026-07-07T00:00:00.000Z,0,2.452737034117389E-6
2026-07-08T00:00:00.000Z,0,-2.1712352846455025E-5
2026-07-11T00:00:00.000Z,0,2.5950825911422724E-4
2026-07-13T00:00:00.000Z,0,8.235741770477035E-5
2026-07-06T00:00:00.000Z,0,
2026-07-12T00:00:00.000Z,0,-1.268859148694901E-4
2026-06-06T00:00:00.000Z,0,4.4743937269231535E-5
2026-06-11T00:00:00.000Z,0,3.191396860813711E-4
2026-06-05T00:00:00.000Z,0,4.052726462759893E-5
2026-06-07T00:00:00.000Z,0,-4.87806955788983E-5
2026-06-10T00:00:00.000Z,0,-2.0116748410146102E-4
2026-06-09T00:00:00.000Z,0,3.6112620728090405E-4
2026-06-08T00:00:00.000Z,0,2.961496480565984E-4
2026-06-04T00:00:00.000Z,0,-1.0438117169542237E-5
2025-10-11T00:00:00.000Z,0,-1.5501851052441022E-4
2025-10-12T00:00:00.000Z,0,-1.4910728546405712E-4
2025-10-14T00:00:00.000Z,0,-1.1724152702501872E-6
2025-10-09T00:00:00.000Z,0,-1.0184181046497542E-4
